"","game_id","team_name","x","y","end_y","end_z","player_id","surname","outcome","power","body_part","first_name","known_name"
"6561",485077,"Colorado Rapids",88.5,50,45.6,19,34164,"Torres","goal","regular","right foot","Gabriel",""
"6562",485077,"Vancouver Whitecaps",88.5,50,54.4,0.6,78172,"Sanvezzo","goal","regular","right foot","Camilo",""
"6563",485090,"Houston Dynamo",88.5,50,45.9,4.4,55209,"García","goal","regular","right foot","�scar",""
"6564",741363,"Columbus Crew",88.5,50,48.5,25.9,47681,"Higuaín","goal","strong","right foot","Federico",""
"6565",741427,"Columbus Crew",88.5,50,51.9,34.8,115752,"Arrieta","goal","strong","right foot","Jairo",""
"6566",741438,"Chivas USA",88.8,50,47.2,6.3,101772,"Torres","goal","regular","right foot","Erick",""
"6567",741438,"Houston Dynamo",88.6,50,46.6,14.6,20568,"Barnes","goal","regular","right foot","Giles",""
"6568",741512,"Houston Dynamo",88.5,50,53.8,3.8,15338,"Davis","goal","regular","left foot","Brad",""
"6569",741417,"New England Revolution",88.5,50,46.4,2.5,28580,"Nguyen","goal","regular","right foot","Lee",""
"6570",741417,"Chicago Fire",88.5,50,51.7,2.5,131422,"Anangono","saved","regular","right foot","Juan",""
"6571",741424,"Chivas USA",88.5,50,45.6,7,101772,"Torres","goal","regular","right foot","Erick",""
"6572",741467,"Seattle Sounders FC",88.5,50,50.1,25.3,20327,"Pineda","goal","regular","left foot","Gonzalo",""
"6573",741515,"Real Salt Lake",88.6,49.7,53,2.5,47407,"Morales","goal","regular","right foot","Javier",""
"6574",741515,"Real Salt Lake",88.5,50,52.8,29.7,95278,"Plata","goal","regular","right foot","Joao",""
"6575",741391,"Vancouver Whitecaps",88.5,50,47.4,2.5,4452,"Miller","goal","regular","right foot","Kenny",""
"6576",741522,"Colorado Rapids",88.5,50,47.9,27.2,78015,"Powers","goal","regular","right foot","Dillon",""
"6577",741480,"FC Dallas",88.5,50,52.6,6.3,95316,"Castillo","saved","regular","right foot","Fabian",""
"6578",741484,"Chicago Fire",88.5,50,54.2,3.8,41551,"Larentowicz","goal","regular","right foot","Jeff",""
"6579",741463,"Chicago Fire",88.5,50,53.8,4.4,41568,"Magee","goal","regular","right foot","Mike",""
"6580",741463,"Chicago Fire",88.5,50,54.4,2.5,41568,"Magee","goal","regular","right foot","Mike",""
"6581",741530,"Toronto FC",88.5,50,53.4,5.7,7958,"Defoe","goal","regular","right foot","Jermain",""
"6582",741527,"New England Revolution",88.5,50,54.6,10.8,51133,"Tierney","saved","regular","left foot","Chris",""
"6583",741528,"LA Galaxy",88.5,50,53.3,8.9,71852,"Sarvas","saved","regular","right foot","Marcelo",""
"6584",741573,"Houston Dynamo",88.4,50.1,46.8,3.8,15338,"Davis","saved","regular","left foot","Brad",""
"6585",741573,"Seattle Sounders FC",88.5,50,47.8,13.3,20327,"Pineda","goal","regular","left foot","Gonzalo",""
"6586",741579,"Sporting Kansas City",88.5,50,49.7,31.6,60318,"Dwyer","goal","regular","left foot","Dominic",""
"6587",741579,"Sporting Kansas City",88.5,50,46.7,5.1,60318,"Dwyer","goal","regular","left foot","Dominic",""
"6588",741542,"D.C. United",88.5,50,53.3,22.8,15540,"Johnson","goal","regular","right foot","Eddie",""
"6589",741542,"Chivas USA",88.5,50,52.4,2.5,101772,"Torres","goal","regular","right foot","Erick",""
"6590",741581,"San Jose Earthquakes",88.5,50,52.3,52.8,41647,"Wondolowski","miss","regular","right foot","Chris",""
"6591",741536,"New York Red Bulls",88.5,50,47.9,4.4,18770,"Wright-Phillips","goal","regular","right foot","Bradley",""
"6592",741572,"Chicago Fire",88.5,50,52.7,10.8,41568,"Magee","saved","regular","right foot","Mike",""
"6593",741632,"Chicago Fire",88.5,50,47,14.6,41551,"Larentowicz","goal","regular","right foot","Jeff",""
"6594",741632,"D.C. United",88.5,50,51.6,28.5,110624,"Silva","goal","regular","right foot","Luis",""
"6595",741539,"Toronto FC",88.5,50,44.8,1.9,37368,"Bradley","woodwork","regular","right foot","Michael",""
"6596",741571,"Vancouver Whitecaps",88.5,50,54,7.6,110608,"Mattocks","saved","regular","right foot","Darren",""
"6597",741618,"New York Red Bulls",88.5,50,53.1,1.9,6829,"Luyindula","goal","regular","right foot","P�guy",""
"6598",741618,"Philadelphia Union",88.5,50,51.8,19,37828,"Le Toux","goal","regular","right foot","Sebastien",""
"6599",741631,"Columbus Crew",88.5,50,47.8,1.9,47681,"Higuaín","saved","regular","right foot","Federico",""
"6600",741622,"Chicago Fire",88.5,50,53.1,5.7,41551,"Larentowicz","saved","regular","right foot","Jeff",""
"6601",741611,"Columbus Crew",88.5,50,50.4,40.5,47681,"Higuaín","woodwork","strong","right foot","Federico",""
"6602",741600,"Real Salt Lake",88.5,50,52.4,8.9,47407,"Morales","goal","regular","right foot","Javier",""
"6603",741628,"New York Red Bulls",88.5,50,54.2,13.9,18770,"Wright-Phillips","goal","regular","right foot","Bradley",""
"6604",741605,"LA Galaxy",88.5,50,50.4,16.5,5075,"Donovan","goal","regular","right foot","Landon",""
"6605",741605,"LA Galaxy",88.5,50,47,2.5,5075,"Donovan","goal","regular","right foot","Landon",""
"6606",741608,"New York Red Bulls",88.5,50,54.1,7,18770,"Wright-Phillips","goal","regular","right foot","Bradley",""
"6607",741615,"Vancouver Whitecaps",88.5,50,52.6,2.5,50906,"Morales","goal","regular","right foot","Pedro",""
"6608",741623,"Colorado Rapids",88.5,50,53.4,10.1,78015,"Powers","goal","regular","right foot","Dillon",""
"6609",741655,"Toronto FC",88.5,50,53.9,5.1,7958,"Defoe","saved","regular","right foot","Jermain",""
"6610",741638,"Vancouver Whitecaps",88.5,50,53.5,2.5,50906,"Morales","saved","regular","right foot","Pedro",""
"6611",741638,"Vancouver Whitecaps",88.5,50,54.3,1.9,50906,"Morales","goal","strong","right foot","Pedro",""
"6612",741668,"FC Dallas",88.5,50,53.6,12,34147,"Pérez","goal","regular","right foot","Blas",""
"6613",741654,"Chivas USA",88.5,50,45.9,3.2,101772,"Torres","saved","regular","right foot","Erick",""
